plant_name,Area (mm^2),Uncertainty (mm^2)
Col,0.5590800235419129,0.0179458997829692
Col,0.5120231878930946,0.0164354232481301
Col,0.5714044328785082,0.018341500780189
Col,0.8178926196104137,0.0262535207245842
Col,0.8459026408299484,0.0271526139000837
Col,0.5489964159028804,0.0176222262397894
Col,0.2677758028587518,0.0085953307577748
Col,0.2005517519318685,0.0064375071365761
Col,0.2946654232295052,0.0094584602062543
Col,0.547876015054099,0.0175862625127694
Col,0.4414379344198671,0.0141697084458715
Col,0.5422740108101921,0.0174064438776695
Col,0.6666385050249263,0.0213984175768871
Col,0.3641302758539513,0.011688211281493
Col,0.432474727629616,0.0138819986297116
Col,0.4403175335710857,0.0141337447188515
Col,0.3148326385075702,0.0101058072926139
Col,0.4145483140491138,0.013306578997392
Col,0.4235115208393649,0.0135942888135518
Col,0.5109027870443132,0.0163994595211101
Col,0.2005517519318685,0.0064375071365761
Col,0.0739464560195716,0.0023736059833185
Col,0.3618894741563885,0.011616283827453
Col,0.5321904031711596,0.0170827703344897
Col,0.1882273425952733,0.0060419061393563
Col,0.4705683564881832,0.0151047653483909
Col,0.4201503182930207,0.0134863976324919
Col,0.3260366469953841,0.0104654445628137
Col,0.155735717980613,0.004998958055777
Col,0.3484446639710118,0.0111847191032133
Col,0.4313543267808346,0.0138460349026917
Col,0.2778594104977844,0.0089190043009546
Col,0.6431100872005171,0.0206431793094676
Col,0.4627255505467135,0.0148530192592511
Col,0.6397488846541729,0.0205352881284077
Col,0.4974579768589365,0.0159678947968704
Col,0.2408861824879985,0.0077322013092953
Col,0.4436787361174299,0.0142416358999114
Col,0.3383610563319794,0.0108610455600334
Col,0.1243644942147341,0.0039919736992176
Col,0.4223911199905835,0.0135583250865318
Col,0.4985783777077179,0.0160038585238904
Col,0.406705508107644,0.0130548329082521
Col,0.371973081795421,0.0119399573706328
Col,0.5254679980784712,0.0168669879723699
Col,0.3618894741563885,0.011616283827453
Col,0.3417222588783235,0.0109689367410934
Col,0.6419896863517357,0.0206072155824476
