plant_number,plant_ID,stress
plant1,SailSeq201-G03.1,25
plant2,Salk_080561C,25
plant3,Col-0,25
plant4,Salk_102761C,25
plant5,Salk_002822C,25
plant6,Salk_102761C,25
plant7,SalkSeq-50.E01.1,25
plant8,SalkSeq-50.E01.1,25
plant9,Salk_098896,25
plant10,Salk_056202C,25
plant11,SalkSeq-50.E01.1,25
plant12,SailSeq201-G03.1,25
plant13,Salk_052070,25
plant14,Col-0,25
plant15,Salk_080561C,25
plant16,Salk_052070,25
plant17,Salk_002822C,25
plant18,SailSeq201-G03.1,25
plant19,Salk_080561C,25
plant20,Salk_098896,25
plant21,Salk_098896,25
plant22,Col-0,25
plant23,Salk_052070,25
plant24,Salk_002822C,25
