plant_number,plant_ID,stress
plant1,Salk_098896,100
plant2,Salk_102761C,100
plant3,SalkSeq-50.E01.1,100
plant4,Salk_102761C,100
plant5,Salk_203144,100
plant6,Salk_098896,100
plant7,SailSeq201-G03.1,100
plant8,Salk_002822C,100
plant9,Salk_002822C,100
plant10,Salk_203144,100
plant11,SailSeq201-G03.1,100
plant12,Salk_098896,100
plant13,Salk_002822C,100
plant14,SalkSeq-50.E01.1,100
plant15,SalkSeq-50.E01.1,100
plant16,Salk_203144,100
plant17,Salk_080561C,100
plant18,Col-0,100
plant19,SailSeq201-G03.1,100
plant20,Salk_056202C,100
plant21,Col-0,100
plant22,Salk_080561C,100
plant23,Col-0,100
plant24,Salk_080561C,100
