time,plant_number,plant_ID,Area (mm^2),Stress (%)
2025-10-29--10-30-09,plant40,Camta5-1/T3,236.48346587363207,100
2025-10-29--10-30-09,plant41,Camta5-2/T3,201.74358865460857,100
2025-10-29--10-30-09,plant42,Camta5-1/T3,265.4010173017578,100
2025-10-29--15-30-05,plant1,Col-0,240.65613269044218,10
2025-10-29--15-30-05,plant2,Col-0,261.03427295858444,10
2025-10-29--15-30-05,plant3,Col-0,399.7026655451336,10
2025-10-29--15-30-05,plant4,Camta1-1/T3,416.49037157555557,10
2025-10-29--15-30-05,plant5,Col-0,238.4242411372647,10
2025-10-29--15-30-05,plant6,Col-0,301.4994372053241,10
2025-10-29--15-30-05,plant7,Col-0,298.29715802033036,10
2025-10-29--15-30-05,plant8,Camta1-1/T3,278.50125033127784,10
2025-10-29--15-30-05,plant9,Camta1-1/T3,450.5509774523077,10
2025-10-29--15-30-05,plant10,Camta1-2/T3,270.2529554608393,10
2025-10-29--15-30-05,plant11,Camta1-2/T3,136.53353979655327,10
2025-10-29--15-30-05,plant12,Camta1-3/T3,395.8211150178684,10
2025-10-29--15-30-05,plant13,Camta1-1/T3,417.46075920737184,10
2025-10-29--15-30-05,plant14,Camta1-2/T3,347.7869272429616,10
2025-10-29--15-30-05,plant15,Camta1-2/T3,213.1941627100409,10
2025-10-29--15-30-05,plant16,Camta1-3/T3,346.33134579523716,10
2025-10-29--15-30-05,plant17,Camta1-3/T3,361.95458666747953,10
2025-10-29--15-30-05,plant18,Camta5-1/T3,246.2843809549767,10
2025-10-29--15-30-05,plant19,Camta5-1/T3,318.0930657093828,10
2025-10-29--15-30-05,plant20,Camta5-2/T3,204.7517903132391,10
2025-10-29--15-30-05,plant21,Camta1-3/T3,444.72865166140986,10
2025-10-29--15-30-05,plant22,Camta5-1/T3,291.0192507817081,10
2025-10-29--15-30-05,plant23,Camta5-1/T3,290.92221201852647,10
2025-10-29--15-30-05,plant24,Camta5-2/T3,332.8429577129906,10
2025-10-29--15-30-05,plant25,Camta5-2/T3,349.6306637434125,10
2025-10-29--15-30-05,plant26,Camta5-3/T3,152.8360520110671,10
2025-10-29--15-30-05,plant27,Camta5-3/T3,156.32944748560578,10
2025-10-29--15-30-05,plant28,Camta5-4/T3,147.79003632562234,10
2025-10-29--15-30-05,plant29,Camta5-2/T3,442.49676010823237,10
2025-10-29--15-30-05,plant30,Camta5-3/T3,271.02926556629234,10
2025-10-29--15-30-05,plant31,Camta5-3/T3,243.47025682270944,10
2025-10-29--15-30-05,plant32,Camta5-4/T3,158.36726151242001,10
2025-10-29--15-30-05,plant33,Camta5-4/T3,107.13079455251942,10
2025-10-29--15-30-05,plant34,Camta5-5/T3,315.958212919387,10
2025-10-29--15-30-05,plant35,Camta5-5/T3,317.3167556039298,10
2025-10-29--15-30-05,plant36,Camta5-1/T3,304.7017163903179,10
2025-10-29--15-30-05,plant37,Camta5-4/T3,197.18276678507198,10
2025-10-29--15-30-05,plant38,Camta5-5/T3,163.41327719786477,10
2025-10-29--15-30-05,plant39,Camta5-5/T3,164.8688586455892,10
2025-10-29--15-30-05,plant40,Camta5-1/T3,237.93904732135653,10
2025-10-29--15-30-05,plant41,Camta5-2/T3,205.042906602784,10
2025-10-29--15-30-05,plant42,Camta5-1/T3,253.95044324632548,10
2025-10-29--17-50-06,plant1,Col-0,235.02788442590764,10
2025-10-29--17-50-06,plant2,Col-0,268.89441277629646,10
2025-10-29--17-50-06,plant3,Col-0,394.07441728059905,10
2025-10-29--17-50-06,plant4,Camta1-1/T3,416.49037157555557,10
2025-10-29--17-50-06,plant5,Col-0,241.4324427958952,10
2025-10-29--17-50-06,plant6,Col-0,299.75273946805476,10
2025-10-29--17-50-06,plant7,Col-0,303.24613494259347,10
2025-10-29--17-50-06,plant8,Camta1-1/T3,312.56185620802995,10
2025-10-29--17-50-06,plant9,Camta1-1/T3,447.833892083222,10
2025-10-29--17-50-06,plant10,Camta1-2/T3,263.36320327494354,10
2025-10-29--17-50-06,plant11,Camta1-2/T3,137.79504371791447,10
2025-10-29--17-50-06,plant12,Camta1-3/T3,397.761890281501,10
2025-10-29--17-50-06,plant13,Camta1-1/T3,425.02978273553896,10
2025-10-29--17-50-06,plant14,Camta1-2/T3,353.02702045476957,10
2025-10-29--17-50-06,plant15,Camta1-2/T3,212.12673631504296,10
2025-10-29--17-50-06,plant16,Camta1-3/T3,351.57143900704517,10
2025-10-29--17-50-06,plant17,Camta1-3/T3,360.7901215093,10
2025-10-29--17-50-06,plant18,Camta5-1/T3,250.8452028245133,10
2025-10-29--17-50-06,plant19,Camta5-1/T3,316.54044549847674,10
2025-10-29--17-50-06,plant20,Camta5-2/T3,206.88664310323495,10
2025-10-29--17-50-06,plant21,Camta1-3/T3,439.1004033968753,10
2025-10-29--17-50-06,plant22,Camta5-1/T3,292.57187099261415,10
2025-10-29--17-50-06,plant23,Camta5-1/T3,294.4156074930651,10
2025-10-29--17-50-06,plant24,Camta5-2/T3,335.1718880293497,10
2025-10-29--17-50-06,plant25,Camta5-2/T3,354.0944468497675,10
2025-10-29--17-50-06,plant26,Camta5-3/T3,156.13536995924252,10
2025-10-29--17-50-06,plant27,Camta5-3/T3,154.87386603788133,10
2025-10-29--17-50-06,plant28,Camta5-4/T3,151.47750932652428,10
2025-10-29--17-50-06,plant29,Camta5-2/T3,444.82569042459147,10
2025-10-29--17-50-06,plant30,Camta5-3/T3,264.9158234858496,10
2025-10-29--17-50-06,plant31,Camta5-3/T3,240.65613269044218,10
2025-10-29--17-50-06,plant32,Camta5-4/T3,158.36726151242001,10
2025-10-29--17-50-06,plant33,Camta5-4/T3,112.5649652906907,10
2025-10-29--17-50-06,plant34,Camta5-5/T3,321.10126736801334,10
2025-10-29--17-50-06,plant35,Camta5-5/T3,331.38737626526614,10
2025-10-29--17-50-06,plant36,Camta5-1/T3,303.3431737057751,10
2025-10-29--17-50-06,plant37,Camta5-4/T3,197.76499936416175,10
2025-10-29--17-50-06,plant38,Camta5-5/T3,167.19778896194833,10
2025-10-29--17-50-06,plant39,Camta5-5/T3,164.1895873033178,10
2025-10-29--17-50-06,plant40,Camta5-1/T3,237.55089226863,10
2025-10-29--17-50-06,plant41,Camta5-2/T3,209.8948447618655,10
2025-10-29--17-50-06,plant42,Camta5-1/T3,260.8401954322212,10
